project_code	submitter_sample_id	ega_sample_id	ega_experiment_id	ega_run_id	file_name	ega_file_id	encrypted_file_md5sum	file_md5sum	dataset_id	file_size
NKTL-SG	TNKTL8	EGAN00001514308	EGAX00001500444	EGAR00001544337	TNKTL8_L002_R2.fastq.gz	EGAF00001589969	d1327446e85292f61b5e6e7c7ce5f4e4	6ee7b45b320081a0abe65cffd5a9e1e1	EGAD00001003271	34586589306
NKTL-SG	NAITL33	EGAN00001676561	EGAX00001615737	EGAR00001661297	icgc_batch2/NAITL33_R2.fastq.gz	EGAF00001883962	b009df79cea74609f641abb3a773a664	620256bf89be9d941b56d139007abb39	EGAD00001003271	
NKTL-SG	NPTCL4	EGAN00001676550	EGAX00001615726	EGAR00001661286	icgc_batch2/NPTCL4_R1.fastq.gz	EGAF00001883939	2a9018941edaae9a4251a697017254ab	0738d93edcf599532ba03a78a72a980a	EGAD00001003271	
NKTL-SG	TNKTL3	EGAN00001514303	EGAX00001500430	EGAR00001544323	TNKTL3_R2.fastq.gz	EGAF00001589941	d04a6a87e784fb3d05d060c4d58f256f	46943015498f3ea972a171e2d50352e8	EGAD00001003271	68650204284
NKTL-SG	TPTCL10	EGAN00001676582	EGAX00001615758	EGAR00001661318	icgc_batch2/TPTCL10_R1.fastq.gz	EGAF00001884003	5926151175f68d440e16701f2ecef8c5	82b25c38c62734a94851bd851db4ce01	EGAD00001003271	
NKTL-SG	NNKTL11	EGAN00001675533	EGAX00001500451	EGAR00001544344	NNKTL11_R1.fastq.gz	EGAF00001589982	be9e6b8c7a2c0b560c4b19d1900f097e	7f096a1089782fa302a56934c8e0c5b6	EGAD00001003271	29827779116
NKTL-SG	NNKTL20	EGAN00001675542	EGAX00001500469	EGAR00001544362	NNKTL20_R2.fastq.gz	EGAF00001590019	04faad1381b213147e6780e868d84895	4ee0420fd8fc4bcd5340c7292d0b5894	EGAD00001003271	59476667130
NKTL-SG	NNKTL21	EGAN00001675543	EGAX00001500471	EGAR00001544364	NNKTL21_R1.fastq.gz	EGAF00001590022	60575a50fa8d485127106d9f784cdbb0	8b9c0c0e9c23a5d5cc1b7adf69a6f2c7	EGAD00001003271	33208053593
NKTL-SG	TNKTL5	EGAN00001514305	EGAX00001500434	EGAR00001544327	TNKTL5_R1.fastq.gz	EGAF00001589948	d9c681c741440c6332604f016af4b25b	a07885315bf31274d738966b8cb709c0	EGAD00001003271	84863246958
NKTL-SG	NNKTL19	EGAN00001675541	EGAX00001500467	EGAR00001544360	NNKTL19_R1.fastq.gz	EGAF00001590014	a9788ecf2ff1bf3712946c5785461519	ba59c992cd48f8972ab4f2d93e5818c5	EGAD00001003271	30456197817
NKTL-SG	NPTCL11	EGAN00001676558	EGAX00001615734	EGAR00001661294	icgc_batch2/NPTCL11_R2.fastq.gz	EGAF00001883956	1f884d4cda1e2cbdd98a39e6042c61fc	51902955b174117331ea4400561c2a19	EGAD00001003271	
NKTL-SG	TAITL33	EGAN00001676586	EGAX00001615762	EGAR00001661322	icgc_batch2/TAITL33_R1.fastq.gz	EGAF00001884011	dd11eaab6a04d89988b2f515a77bb997	0c9873550491aef8c21a4d80949624ef	EGAD00001003271	
NKTL-SG	NNKTL2	EGAN00001675524	EGAX00001500427	EGAR00001544320	NNKTL2_R2_R1.fastq.gz	EGAF00001589934	ff7f655f1e388a71958a35d926741e86	ff7f655f1e388a71958a35d926741e86	EGAD00001003271	
NKTL-SG	NAITL33	EGAN00001676561	EGAX00001615737	EGAR00001661297	icgc_batch2/NAITL33_R1.fastq.gz	EGAF00001883961	d9386ea32fb6027b7e5bde92bf48bb08	b1829b0a8408ff77215c7692c96d3b5b	EGAD00001003271	
NKTL-SG	TAITL36	EGAN00001676585	EGAX00001615761	EGAR00001661321	icgc_batch2/TAITL36_R1.fastq.gz	EGAF00001884009	e09b453b884f1b6a598625eecb16ed98	40c53afcfeb7a67e06c923f2d5a778ff	EGAD00001003271	
NKTL-SG	TNKTL6	EGAN00001514306	EGAX00001500436	EGAR00001544329	TNKTL6_R2.fastq.gz	EGAF00001589953	fd2c025487acdfef0cdc2625e6e477fc	16852b196f758d4238a70416ac6af517	EGAD00001003271	72612637308
NKTL-SG	TNKTL17	EGAN00001514317	EGAX00001500464	EGAR00001544357	TNKTL17_R2.fastq.gz	EGAF00001590009	691d23784a02447bca6ba510d63b575b	9693983af496765f9e0be617c41408e6	EGAD00001003271	64659398218
